,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-07 23:00:00+00:00,21.04,81.38184150000001,24.2272075,58.6266105,0.0,101.03916749999999,613.350668,899.665495,0.0,222.5231095,1456.7112525,899.665495,1679.234362,-779.568867
2026-02-08 00:00:00+00:00,21.04,81.271724,24.22715725,71.407277,0.0,100.2478745,684.383936,982.57796875,0.0,419.8773485,1419.2660275,982.57796875,1839.143376,-856.56540725
2026-02-08 01:00:00+00:00,21.04,81.27530675,24.219379,43.988425,0.0,98.8344005,745.0981575000001,1014.4556687500001,0.0,440.69754650000004,1395.9056525,1014.4556687500001,1836.6031990000001,-822.14753025
2026-02-08 02:00:00+00:00,21.04,81.3669735,24.22311625,57.2336225,0.0,98.8927695,836.400261,1119.15674275,0.0,435.66396050000003,1397.2603125,1119.15674275,1832.924273,-713.7675302500002
2026-02-08 03:00:00+00:00,21.04,81.2831595,24.247211,42.14420925,0.0,98.6727705,906.04330075,1173.430651,0.0,439.32229625,1424.5442225,1173.430651,1863.86651875,-690.4358677500002
2026-02-08 04:00:00+00:00,21.04,81.326704,24.24094525,54.77280225,0.0,98.6488565,994.09854375,1274.12785175,0.0,430.322813,1488.008475,1274.12785175,1918.331288,-644.2034362500001
2026-02-08 05:00:00+00:00,20.9286025,81.36924975,24.24926775,52.761767500000005,3.38260425,98.70893075000001,1105.285225,1386.6856475,0.0,217.59178525,1565.5580675,1386.6856475,1783.14985275,-396.4642052500001
2026-02-08 06:00:00+00:00,21.0042015,81.27781,24.26387775,46.7475695,37.6818985,98.33745725,1105.5628124999998,1414.875627,0.0,0.0,1705.255505,1414.875627,1705.255505,-290.3798780000002
2026-02-08 07:00:00+00:00,20.98279875,81.375197,24.4205025,60.03461175,124.837559,98.387565,1010.391661,1420.429895,9.634801249999999,0.0,1891.970505,1430.06469625,1891.970505,-461.90580875
2026-02-08 08:00:00+00:00,20.87120125,81.483811,29.65203675,72.70282925,219.504849,98.62426025,979.091489,1501.9304765000002,18.36854625,0.0,1986.10585,1520.2990227500002,1986.10585,-465.80682724999974
