,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-02-24 21:00:00+00:00,141.66947525,190.85173425,588.15550275,3113.643133,20.8351485,4055.15499375,0.0,0.0,2816.9875,4055.15499375,2816.9875,1238.1674937499997
2026-02-24 22:00:00+00:00,141.95142725,186.29574975,726.63075425,2943.3929630000002,22.96435075,4021.2352450000003,0.0,0.0,2781.995,4021.2352450000003,2781.995,1239.2402450000004
2026-02-24 23:00:00+00:00,141.40848375000002,192.16320324999998,777.96828775,2737.71367625,23.6904515,3872.9441025,0.0,0.0,2739.84,3872.9441025,2739.84,1133.1041025
2026-02-25 00:00:00+00:00,141.3208935,195.20316775,819.9098625,2734.314002,24.028021,3914.77594675,0.0,0.0,2710.2875,3914.77594675,2710.2875,1204.48844675
2026-02-25 01:00:00+00:00,140.96401275,193.161,835.12566825,2693.14421375,23.91437925,3886.3092739999997,0.0,0.0,2697.2775,3886.3092739999997,2697.2775,1189.0317739999996
2026-02-25 02:00:00+00:00,145.70649175,198.3917385,829.49146,2746.83341675,24.95771725,3945.38082425,0.0,0.0,2693.185,3945.38082425,2693.185,1252.19582425
2026-02-25 03:00:00+00:00,143.27623975,199.22170675,858.07582775,2783.362896,23.135800500000002,4007.0724707500003,0.0,0.0,2689.6925,4007.0724707500003,2689.6925,1317.3799707500002
2026-02-25 04:00:00+00:00,141.441975,194.83805775000002,904.97516725,2665.009818,21.74650725,3928.01152525,0.0,0.0,2701.995,3928.01152525,2701.995,1226.01652525
2026-02-25 05:00:00+00:00,140.70431475,188.27457325,929.71088875,2381.63076275,18.978425,3659.2989645,0.0,0.0,2761.56,3659.2989645,2761.56,897.7389644999998
2026-02-25 06:00:00+00:00,140.3329195,183.25205699999998,929.98092125,2327.07088725,16.66977475,3597.30655975,0.0,0.0,2890.345,3597.30655975,2890.345,706.9615597500001
2026-02-25 07:00:00+00:00,140.29980275,190.175554,921.01617775,2524.614666,14.44668275,3790.55288325,0.0,0.0,2961.7925,3790.55288325,2961.7925,828.7603832499999
2026-02-25 08:00:00+00:00,139.80978425,203.49250025,911.8650795,2738.4803555,15.645358250000001,4009.2930777499996,0.0,0.0,2937.55,4009.2930777499996,2937.55,1071.7430777499994
