,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other
2026-02-08 08:00:00+00:00,0.024597437463520146,395.17383600353594,0.0,972.4024195806326,0.0,0.0,0.0,0.0,0.0,0.0,10.524146978367803
2026-02-08 09:00:00+00:00,0.050821299070260534,276.19377388029426,0.0,778.2286161727227,0.0,0.0,0.0,0.0,0.0,0.0,8.37678864791271
2026-02-08 10:00:00+00:00,0.07425020878978197,245.14573460246646,0.0,756.6621147844364,0.0,0.0,0.0,0.0,0.0,0.0,8.267900404307342
2026-02-08 11:00:00+00:00,0.05836849370692435,162.6799924715634,0.0,609.7998078350483,0.0,0.0,0.0,0.0,0.0,0.0,6.5868311996812485
2026-02-08 12:00:00+00:00,0.02372307489814027,79.11955460041783,0.0,423.9129709544122,0.0,0.0,0.0,0.0,0.0,0.0,4.493751370271855
2026-02-08 13:00:00+00:00,0.007576813546984472,46.430363332126596,0.0,337.5108848634093,0.0,0.0,0.0,0.0,0.0,0.0,3.5511749909171817
2026-02-08 14:00:00+00:00,0.002412522695175292,51.35743848879231,0.0,431.4159558351921,0.0,0.0,0.0,0.0,0.0,0.0,4.449193153320418
2026-02-08 15:00:00+00:00,0.0,48.26000517348943,0.0,488.5242491556872,0.0,0.0,0.0,0.0,0.0,0.0,4.790745670823419
2026-02-08 16:00:00+00:00,0.0,38.87746601938917,0.0,490.5881069779657,0.0,0.0,0.0,0.0,0.0,0.0,4.809427002645118
2026-02-08 17:00:00+00:00,0.0,32.0046809954451,0.0,479.9602159362958,0.0,0.0,0.0,0.0,0.0,0.0,4.635103068259147
2026-02-08 18:00:00+00:00,0.0,28.151717046069297,0.0,445.2092277465118,0.012176818571438926,0.0017116793748731388,0.003130381289145336,0.0,0.0,0.00042873592109384304,4.346607592262386
2026-02-08 19:00:00+00:00,0.0,18.207696025603347,0.0,316.25863057456405,0.018884345897707714,0.002645618408647599,0.0,0.0,0.013734444728858479,0.0,3.123408990797422
2026-02-08 20:00:00+00:00,0.0,13.705462597945171,0.0,249.62968633529238,0.0,0.0,0.0,0.0,0.0,0.0,2.539851066762449
2026-02-08 21:00:00+00:00,0.0,14.487390008956272,0.0,230.46035934806753,0.0,0.0,0.0,0.0,0.0,0.0,2.4272506429761957
2026-02-08 22:00:00+00:00,0.0,11.428248408389393,0.0,157.97159910367193,0.0,0.0,0.0,0.0,0.0,0.0,1.725152487938687
2026-02-08 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09 00:00:00+00:00,0.0,1.8619795434526178,0.0,21.02496733557809,0.0,0.0,0.0,0.0,0.0,0.0,0.313053120969291
2026-02-09 01:00:00+00:00,0.0,4.887809104237554,0.0,52.15505369789399,0.0,0.0,0.0,0.0,0.0,0.0,0.7821371978684549
2026-02-09 02:00:00+00:00,0.0,10.63883962974247,0.0,89.71749564370467,0.0,0.0,0.0,0.0,0.0,0.0,1.4186647265528607
2026-02-09 03:00:00+00:00,0.0,17.92553821889843,0.0,142.61196739075433,0.0,0.0,0.0,0.0,0.0,0.0,2.2374943903472433
2026-02-09 04:00:00+00:00,0.0,52.584893025069036,0.0,447.53594176270485,0.0,0.0,0.0,0.0,0.0,0.0,6.404165212226068
2026-02-09 05:00:00+00:00,0.0,73.69162641150783,0.0,747.8038556913614,0.9074743363136274,0.1477349971340021,0.0004057873256923235,0.0,0.743170869767479,5.379034790760221e-05,9.380678116242061
2026-02-09 06:00:00+00:00,0.0,83.86837759740935,0.0,939.479521653162,0.03916186472237923,0.005680567754258222,0.00857334804061525,0.0,0.006211403787444973,0.0010689647136897962,11.541404600410326
2026-02-09 07:00:00+00:00,0.0018829360300759734,109.93469289389726,0.0,1226.0802732839134,0.0,0.0,0.0,0.0,0.0,0.0,13.7081508861591
2026-02-09 08:00:00+00:00,0.02848366089256034,106.19914438350413,0.0,1235.054851859827,0.0,0.0,0.0,0.0,0.0,0.0,13.717520095776374
2026-02-09 09:00:00+00:00,0.06972184236792767,88.2475581489936,0.0,1153.1829383379506,0.0,0.0,0.0,0.0,0.0,0.0,12.874781670687693
2026-02-09 10:00:00+00:00,0.09399283060129099,83.41351998049346,0.0,1013.6101461094911,0.0,0.0,0.0,0.0,0.0,0.0,11.432341079414204
2026-02-09 11:00:00+00:00,0.09347137198787865,73.79397905278755,0.0,991.627028793263,0.0,0.0,0.0,0.0,0.0,0.0,10.760520781961718
2026-02-09 12:00:00+00:00,0.056389800543963225,69.32539210012291,0.0,974.3871071402833,0.0,0.0,0.0,0.0,0.0,0.0,10.956110959049727
2026-02-09 13:00:00+00:00,0.022727140968523758,62.199844368913894,0.0,977.0548010010303,0.0,0.0,0.0,0.0,0.0,0.0,10.972627489087138
2026-02-09 14:00:00+00:00,0.0045862002886782475,64.30641900953043,0.0,1085.9138948292898,0.0,0.0,0.0,0.0,0.0,0.0,12.275099960891113
2026-02-09 15:00:00+00:00,0.0,61.22596579907937,0.0,988.584326644923,0.0,0.0,0.0,0.0,0.0,0.0,10.914707555997493
2026-02-09 16:00:00+00:00,0.0,70.49713608506401,0.0,1093.7847027486775,2.524864945644105,0.40272168533469527,0.0,0.0,1.749449537638819,0.0,11.61612499764093
2026-02-09 17:00:00+00:00,0.0,72.12945772556691,0.0,1015.9670593760453,1.4803080549534036,0.22962903865259388,0.0,0.0,1.0428955097353994,0.0,11.000650295046388
2026-02-09 18:00:00+00:00,0.0,74.15051882141336,0.0,1011.4821172356626,2.6967886594014967,0.4163748694244543,0.0,0.0,1.908341833209086,0.0,10.720858580888917
2026-02-09 19:00:00+00:00,0.0,50.6008482810054,0.0,756.6964333097798,0.0,0.0,0.0,0.0,0.0,0.0,9.152718409214883
2026-02-09 20:00:00+00:00,0.0,42.18036470561731,0.0,648.9516418213799,0.0,0.0,0.0,0.0,0.0,0.0,8.192993473002918
